Screen Size,RAM,Operating System Version,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation,x_res,y_res,isApple,isTouchScreen,cpuSpeed,cpu_tier,ssd_gb,hdd_gb,gpu_power,has_dgpu,isMac
13.3,8,10.0,1.37,16.293100881926744,0,0,0,0,1,0,2560,1600,1,0,3.0,3,128.0,0.0,1.0,0,1
13.3,8,10.0,1.34,15.894123691608904,0,0,0,0,1,0,1440,900,1,0,8.0,3,0.0,0.0,0.0,0,1
15.6,8,10.0,1.86,15.447277511465138,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,0.0,0,0
15.4,16,10.0,1.83,16.931822238126834,0,0,0,0,1,0,2880,1800,1,0,7.0,4,512.0,0.0,0.0,0,1
13.3,8,10.0,1.37,16.59044728398444,0,0,0,0,1,0,2560,1600,1,0,1.0,3,256.0,0.0,1.0,0,1
15.6,4,10.0,2.1,15.084372103343629,0,0,0,1,0,0,1366,768,0,0,3.0,0,0.0,500.0,0.0,0,0
15.4,16,10.0,2.04,16.76145441686257,0,0,0,0,1,0,2880,1800,1,0,2.0,4,0.0,0.0,1.0,0,0
13.3,8,10.0,1.34,16.147961338144697,0,0,0,0,1,0,1440,900,1,0,8.0,3,0.0,0.0,0.0,0,1
14.0,16,10.0,1.3,16.40278883613338,0,0,0,0,1,0,1920,1080,0,0,8.0,4,512.0,0.0,2.0,1,0
14.0,8,10.0,1.6,15.739297935984585,0,0,0,0,1,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
15.6,4,10.0,1.86,15.069004630566464,0,0,0,1,0,0,1366,768,0,0,5.0,3,0.0,500.0,0.0,0,0
15.6,4,10.0,1.86,14.936423032170374,0,0,0,1,0,0,1920,1080,0,0,2.0,2,0.0,500.0,0.0,0,0
15.4,16,10.0,1.83,16.892648344304774,0,0,0,0,1,0,2880,1800,1,0,8.0,4,256.0,0.0,0.0,0,1
15.6,4,10.0,2.2,15.30531317536825,0,0,0,1,0,0,1920,1080,0,0,2.0,2,256.0,0.0,0.0,0,0
12.0,8,10.0,0.92,16.233677314260483,0,0,0,0,1,0,2304,1440,1,0,2.0,0,256.0,0.0,0.0,0,1
13.3,8,10.0,1.37,16.41841856031653,0,0,0,0,1,0,2560,1600,1,0,3.0,3,256.0,0.0,1.0,0,1
15.6,8,10.0,2.2,15.706291644417512,0,0,0,1,0,0,1920,1080,0,0,7.0,4,256.0,0.0,0.0,0,0
15.4,16,10.0,1.83,17.050784672923317,0,0,0,0,1,0,2880,1800,1,0,9.0,4,512.0,0.0,0.0,0,1
15.6,8,10.0,2.2,15.305513596207602,0,0,0,1,0,0,1920,1080,0,0,4.0,2,0.0,1024.0,2.0,1,0
13.3,8,10.0,1.22,15.979439032487562,0,0,0,0,1,0,1920,1080,0,1,6.0,3,128.0,0.0,0.0,0,0
11.6,2,10.0,0.98,14.34988226413529,0,0,1,0,0,0,1366,768,0,0,44.0,0,0.0,0.0,0.0,0,0
15.6,8,10.0,2.5,15.999662166305846,0,1,0,0,0,0,1920,1080,0,0,5.0,3,128.0,1024.0,4.0,1,0
15.6,4,10.0,1.86,14.645867295899558,0,0,0,1,0,0,1366,768,0,0,5.0,0,0.0,500.0,0.0,0,0
13.3,8,10.0,1.62,15.800991496251724,1,0,0,0,0,0,1920,1080,0,1,6.0,3,256.0,0.0,0.0,0,0
15.6,8,10.0,1.91,15.583630980240052,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
15.6,4,10.0,2.3,15.12991890578129,0,0,0,1,0,0,1366,768,0,0,2.0,2,0.0,1024.0,0.0,0,0
13.3,8,10.0,1.35,16.095063331817673,0,0,0,0,1,0,1440,900,1,0,6.0,3,0.0,0.0,0.0,0,0
15.6,8,10.0,2.2,15.777519143327805,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
15.6,8,10.0,1.88,16.261487258989597,0,0,0,0,1,0,1920,1080,0,0,9.0,4,256.0,0.0,0.0,0,0
17.3,8,10.0,2.5,15.890847813573115,0,0,0,1,0,0,1920,1080,0,0,6.0,3,0.0,1024.0,2.0,1,0
15.6,4,10.0,1.89,14.59412512751092,0,0,0,1,0,0,1920,1080,0,0,44.0,0,0.0,0.0,0.0,0,0
14.0,2,10.0,1.65,14.386212664937258,0,0,0,1,0,0,1366,768,0,0,5.0,0,0.0,0.0,0.0,0,0
17.3,4,10.0,2.71,15.177406944333802,0,0,0,1,0,0,1920,1080,0,0,5.0,0,0.0,500.0,0.0,0,0
13.3,16,10.0,1.2,16.626066142711206,0,0,0,0,1,0,3200,1800,0,1,8.0,4,512.0,0.0,0.0,0,0
